DATE      , MinT, MaxT, MnRH, MxRH, VPDM, VPDA, Rain,  FMH,  FMW,
01/01/2000,   51 ,   51 ,   72 ,   72 ,  357 ,  462 , 0.00 , 10.1 , 60.0 ,
01/02/2000,   43 ,   59 ,   35 ,   88 , 1108 ,  657 , 0.00 ,  6.1 , 60.0 ,
01/03/2000,   46 ,   68 ,   19 ,   49 , 1893 , 1195 , 0.00 ,  3.2 , 60.0 ,
01/04/2000,   54 ,   73 ,   18 ,   24 , 2272 , 1500 , 0.00 ,  3.2 , 60.0 ,
01/05/2000,   53 ,   73 ,   14 ,   28 , 2383 , 1667 , 0.00 ,  2.6 , 60.0 ,
01/06/2000,   54 ,   69 ,    8 ,   20 , 2225 , 1672 , 0.00 ,  1.4 , 60.0 ,
01/07/2000,   55 ,   70 ,    8 ,   26 , 2303 , 1448 , 0.00 ,  4.0 , 60.0 ,
01/08/2000,   52 ,   73 ,   12 ,   38 , 2438 , 1094 , 0.00 ,  5.2 , 60.0 ,
01/09/2000,   52 ,   72 ,   14 ,   42 , 2304 , 1376 , 0.00 ,  3.9 , 60.0 ,
01/10/2000,   51 ,   72 ,   22 ,   56 , 2089 ,  669 , 0.00 ,  7.8 , 60.0 ,
01/11/2000,   46 ,   70 ,   33 ,   97 , 1677 ,  464 , 0.00 ,  8.5 , 60.0 ,
01/12/2000,   47 ,   70 ,   56 ,   99 , 1101 ,  453 , 0.00 ,  9.1 , 60.0 ,
01/13/2000,   51 ,   80 ,   34 ,   96 , 2307 , 1053 , 0.00 ,  4.9 , 60.0 ,
01/14/2000,   64 ,   85 ,   10 ,   34 , 3698 , 2504 , 0.00 ,  1.9 , 60.0 ,
01/17/2000,   56 ,   60 ,   48 ,   92 ,  919 ,  390 , 0.68 , 35.0 , 60.0 ,
01/18/2000,   58 ,   68 ,   46 ,   91 , 1262 ,  901 , 0.05 , 10.3 , 60.0 ,
01/19/2000,   60 ,   73 ,   50 ,   68 , 1385 ,  902 , 0.00 ,  8.0 , 60.0 ,
01/20/2000,   55 ,   77 ,   45 ,   86 , 1742 ,  848 , 0.00 , 10.1 , 60.0 ,
01/21/2000,   50 ,   70 ,   60 ,   99 , 1001 ,  616 , 0.00 , 12.2 , 60.0 ,
01/22/2000,   46 ,   65 ,   63 ,   99 ,  779 ,  382 , 0.00 , 10.2 , 60.0 ,
01/23/2000,   48 ,   63 ,   59 ,   97 ,  805 ,  361 , 0.00 , 11.7 , 60.0 ,
01/24/2000,   55 ,   71 ,   50 ,   86 , 1295 ,  816 , 0.00 ,  9.4 , 60.0 ,
01/25/2000,   51 ,   71 ,   50 ,   99 , 1295 ,  638 , 0.67 , 14.0 , 60.0 ,
01/26/2000,   48 ,   62 ,   42 ,   98 , 1100 ,  771 , 0.16 ,  6.2 , 60.0 ,
01/27/2000,   50 ,   68 ,   37 ,   64 , 1472 ,  689 , 0.00 ,  6.9 , 60.0 ,
01/28/2000,   47 ,   70 ,   27 ,   76 , 1827 , 1048 , 0.00 ,  4.2 , 60.0 ,
01/29/2000,   51 ,   72 ,   26 ,   58 , 1982 ,  948 , 0.00 ,  7.0 , 60.0 ,
01/30/2000,   46 ,   65 ,   43 ,   99 , 1201 ,  448 , 0.03 , 35.0 , 60.0 ,
01/31/2000,   48 ,   64 ,   66 ,   99 ,  692 ,  339 , 0.50 , 12.2 , 60.0 ,
02/01/2000,   53 ,   80 ,   25 ,   81 , 2621 , 1408 , 0.00 ,  3.8 , 60.0 ,
02/02/2000,   60 ,   80 ,   16 ,   34 , 2936 , 1972 , 0.00 ,  3.1 , 60.0 ,
02/03/2000,   59 ,   77 ,   14 ,   24 , 2723 , 1936 , 0.00 ,  2.9 , 60.0 ,
02/04/2000,   50 ,   73 ,   17 ,   92 , 2300 ,  858 , 0.02 , 11.2 , 60.0 ,
02/05/2000,   50 ,   68 ,   60 ,   98 ,  935 ,  388 , 0.00 ,  9.5 , 60.0 ,
02/07/2000,   61 ,   81 ,   15 ,   61 , 3069 , 2012 , 0.00 ,  3.2 , 60.0 ,
02/08/2000,   63 ,   81 ,   12 ,   37 , 3178 , 1914 , 0.00 ,  5.5 , 60.0 ,
02/09/2000,   50 ,   68 ,   37 ,   87 , 1472 ,  551 , 0.00 , 10.9 , 60.0 ,
02/10/2000,   48 ,   62 ,   72 ,   99 ,  531 ,  607 , 0.18 , 35.0 , 60.0 ,
