GACC	State	Group	Site	Date	Fuel	Percent	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-10-30	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-10-15	Chamise	61	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-09-30	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-09-15	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-08-30	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-08-15	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-07-31	Chamise	71	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-07-15	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-06-30	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-06-15	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-05-31	Chamise	111	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-05-15	Chamise	130	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-04-30	Chamise	129	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-04-15	Chamise	126	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-03-30	Chamise	120	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-02-27	Chamise	150	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-02-14	Chamise	109	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-01-30	Chamise	91	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2020-01-15	Chamise	81	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-12-20	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-12-03	Chamise	64	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-11-15	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-11-01	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-10-18	Chamise	64	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-10-04	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-09-20	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-09-06	Chamise	68	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-08-22	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-08-08	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-07-26	Chamise	85	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-07-12	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-06-28	Chamise	89	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-06-13	Chamise	88	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-05-31	Chamise	86	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-05-15	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-04-26	Chamise	96	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-04-12	Chamise	121	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-03-29	Chamise	128	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-03-15	Chamise	150	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2019-01-29	Chamise	104	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-12-14	Chamise	71	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-11-13	Chamise	63	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-10-26	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-10-12	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-09-28	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-09-14	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-08-24	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-08-10	Chamise	65	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-07-27	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-07-24	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-07-13	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-06-29	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-06-16	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-05-23	Chamise	104	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-04-29	Chamise	146	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-04-16	Chamise	147	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-03-22	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-03-21	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-02-16	Chamise	79	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-01-31	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2018-01-19	Chamise	68	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-12-28	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-12-15	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-11-30	Chamise	62	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-11-16	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-09-21	Chamise	64	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-09-07	Chamise	64	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-08-17	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-08-03	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-07-13	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-30	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-15	Chamise	79	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-06-02	Chamise	85	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-05-12	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-05-11	Chamise	87	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-27	Chamise	98	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-26	Chamise	98	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-04-14	Chamise	118	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-31	Chamise	130	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-16	Chamise	129	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-03-03	Chamise	139	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-02-17	Chamise	138	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-02-03	Chamise	103	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2017-01-19	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-12-23	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-12-01	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-11-10	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-10-14	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-30	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-16	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-09-07	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-08-23	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-08-09	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-07-22	Chamise	56	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-06-10	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-05-26	Chamise	74	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-05-11	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-04-22	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-04-08	Chamise	116	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-03-25	Chamise	114	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-03-11	Chamise	110	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2016-02-26	Chamise	115	
